V1	V2	V3
Present-Past: A marking in Present Progressive and Past	Present-Past: Active-ergative in Present Progressive and Past	0.0905094733565237
Present-Past: A marking in Present Progressive and Past	Present-Past: All systems	0.237226208314503
Present-Past: A marking in Present Progressive and Past	Present-Past: No marking difference	0.0579742760038631
Present-Past: Active-ergative in Present Progressive and Past	Present-Past: A marking in Present Progressive and Past	0.563090640495144
Present-Past: Active-ergative in Present Progressive and Past	Present-Past: All systems	0.609646121459772
Present-Past: Active-ergative in Present Progressive and Past	Present-Past: No marking difference	0.330694450131651
Present-Past: All systems	Present-Past: A marking in Present Progressive and Past	1.66319896973938
Present-Past: All systems	Present-Past: Active-ergative in Present Progressive and Past	0.906607473438609
Present-Past: All systems	Present-Past: No marking difference	0.462325707519956
Present-Past: No marking difference	Present-Past: A marking in Present Progressive and Past	1.55216586909476
Present-Past: No marking difference	Present-Past: Active-ergative in Present Progressive and Past	1.56930776577019
Present-Past: No marking difference	Present-Past: All systems	1.52637884476245
Noun, Present progressive: No marking	Noun, Present progressive: Nominative-accusative	1.0443893062168
Noun, Present progressive: No marking	Noun, Present progressive: Tripartite	0.175437551207059
Noun, Present progressive: Nominative-accusative	Noun, Present progressive: No marking	0.593222587351658
Noun, Present progressive: Nominative-accusative	Noun, Present progressive: Tripartite	0.082364316098865
Noun, Present progressive: Tripartite	Noun, Present progressive: No marking	1.56344822812987
Noun, Present progressive: Tripartite	Noun, Present progressive: Nominative-accusative	1.81968967729979
Noun, Simple past: Ergative	Noun, Simple past: No marking	0.365422823319396
Noun, Simple past: Ergative	Noun, Simple past: Nominative-accusative	0.533627819358536
Noun, Simple past: Ergative	Noun, Simple past: Tripartite	0.310394070853373
Noun, Simple past: No marking	Noun, Simple past: Ergative	0.282699115507459
Noun, Simple past: No marking	Noun, Simple past: Nominative-accusative	1.10585452367959
Noun, Simple past: No marking	Noun, Simple past: Tripartite	0.194116950618099
Noun, Simple past: Nominative-accusative	Noun, Simple past: Ergative	0.113409274526189
Noun, Simple past: Nominative-accusative	Noun, Simple past: No marking	0.751736825816133
Noun, Simple past: Nominative-accusative	Noun, Simple past: Tripartite	0.0957283699092393
Noun, Simple past: Tripartite	Noun, Simple past: Ergative	1.45584929081316
Noun, Simple past: Tripartite	Noun, Simple past: No marking	1.33652696650268
Noun, Simple past: Tripartite	Noun, Simple past: Nominative-accusative	1.62929417342374
Pronoun, Present progressive: No marking	Pronoun, Present progressive: Nominative-accusative	0.807377690034766
